videoID,question,options,baseline_prediction,answer,reasoning_output,frame_reasoning_predictions,reasoning_prediction,num_frames,correct,inference_time_sec
8552680285,how does the person sitting down position higher hands,{},B,E,"['A person sitting down with their hands in the air.', 'A', 'A', 'A', 'A', 'A person sitting down with their hands higher than their head.', 'A person sitting down on skis.', 'The person sitting down is wearing skis.']","['A', 'A', 'A', 'A', 'A', 'A', 'A', None]",A,8,0,3.8210501670837402
7887764754,what did the baby do to the dog,{},E,A,"['The baby is feeding the dog a cracker.', 'The baby is sitting on a chair and the dog is sniffing the floor.', 'The baby is sitting on the chair.', 'The baby is sitting on a chair.', 'The baby is eating a donut.', 'The baby is feeding the dog a cracker.', 'The baby is eating a snack.', 'The baby is sitting on a chair.']","['A', 'A', None, 'A', 'A', 'A', 'A', 'A']",A,8,1,4.955579519271851
3804148568,where are the people hanging out,{},D,E,"['A', 'A', 'A', 'A', 'A', 'A', 'A', 'A']","['A', 'A', 'A', 'A', 'A', 'A', 'A', 'A']",A,8,0,2.645433187484741
7988210561,where is the toy sitting at,{},E,A,"['b', 'b', 'b', 'b', 'b', 'b', 'b', 'b']","['B', 'B', 'B', 'B', 'B', 'B', 'B', 'B']",B,8,0,2.6388754844665527
7492398760,where is this happening,{},C,A,"['unanswerable', 'a', 'a', 'answering does not require reading text in the image', 'answering does not require reading text in the image', 'a', 'a', 'a']","[None, 'A', 'A', None, None, 'A', 'A', 'A']",A,8,1,3.221294403076172
5235909148,how many people are in the video,{},C,D,"['1', '1', '1', '1', '2', '2', '1', '3']","[None, None, None, None, None, None, None, None]",A,8,0,2.899125099182129
5061117640,where is this happening,{},B,E,"['answering does not require reading text in the image', 'a', 'a', 'a man is leaning over a counter', 'a', 'answering does not require reading text in the image', 'bathroom', 'a']","[None, 'A', 'A', 'A', 'A', None, None, 'A']",A,8,0,3.3849990367889404
5433090067,how was the girl positioned at the start of the video,{},C,B,"['A', 'A', 'A', 'A', 'A', 'A', 'a', 'a']","['A', 'A', 'A', 'A', 'A', 'A', 'A', 'A']",A,8,0,2.6560120582580566
9208803675,how many people are on the swing in the video,{},B,D,"['3', '4', '3', '3', '4', '3', '3', '1']","[None, None, None, None, None, None, None, None]",A,8,0,2.910048484802246
4636208292,how many people are cheering their glasses at the end,{},E,C,"['a', 'a', 'A', 'A', 'a', 'u', 'A', '1']","['A', 'A', 'A', 'A', 'A', None, 'A', None]",A,8,0,2.6927268505096436
7887764754,how many people are involved in the video,{},E,D,"['A', 'A', '1', '1', '2', '1', '1', '1']","['A', 'A', None, None, None, None, None, None]",A,8,0,2.841977596282959
3477387686,where did this video take place,{},C,A,"['a', 'a', 'a', 'a', 'a', 'a', 'a', 'a']","['A', 'A', 'A', 'A', 'A', 'A', 'A', 'A']",A,8,1,2.655665397644043
7531285946,where is this video taken,{},D,B,"['a', 'a', 'a', 'a', 'a', 'a', 'a', 'a']","['A', 'A', 'A', 'A', 'A', 'A', 'A', 'A']",A,8,0,2.6550402641296387
4136617240,how does the girl feel,{},E,C,"['A', 'A', 'A', 'The girl is happy.', 'The girl is happy.', 'The girl is happy.', 'The girl is happy.', 'The girl is happy.']","['A', 'A', 'A', None, None, None, None, None]",A,8,0,3.2696754932403564
14012319794,what did the girl take from the cupboard,{},C,B,"['A', 'A', 'A', 'A', 'A', 'A', 'A', 'A red shirt']","['A', 'A', 'A', 'A', 'A', 'A', 'A', 'A']",A,8,0,2.7654144763946533
8531675050,what is the possible relation between lady in black and white and the man in white,{},D,E,"['A man in white shirt and black pants standing next to a woman in black and white.', 'A', 'A man in white shirt talking to a woman in black and white.', 'A', 'A', 'A', 'A man in white shirt holding a banana.', 'A man in white shirt holding a frisbee in front of a woman in black.']","['A', 'A', 'A', 'A', 'A', 'A', 'A', 'A']",A,8,0,4.649743556976318
10597533885,where is this happening,{},D,A,"['answering does not require reading text in the image', 'A toddler is playing with toys in a toy box.', 'a toddler is playing with a toy in a room', 'A child is sitting on a shelf in a room.', 'A child is reading a book in a room with a lot of toys.', 'a child playing with toys in a room', 'a toy box with a child playing with it', 'answering does not require reading text in the image']","[None, 'A', 'A', 'A', 'A', 'A', 'A', None]",A,8,1,5.395402669906616
5064681723,how did the baby keep his head warm,{},A,C,"['A baby deer kept his head warm by staying in the shade.', 'A baby deer kept his head warm by staying in the shade.', 'A baby deer kept his head warm by staying in the shade.', 'A baby deer kept his head warm by staying close to the fence.', 'A baby deer kept his head warm by staying close to the fence.', 'A baby deer kept his head warm by staying close to the fence.', 'A baby deer kept his head warm by staying in the shade.', 'A baby deer kept his head warm by staying in the shade.']","['A', 'A', 'A', 'A', 'A', 'A', 'A', 'A']",A,8,0,6.574422359466553
3469864014,how many cats were there,{},D,B,"['1', '1', '1', '1', '1', '1', '1', 'a']","[None, None, None, None, None, None, None, 'A']",A,8,0,2.8521599769592285
6772999108,what did the girl do in the middle of the video,{},B,D,"['A', 'A', 'A', 'A', 'A', 'A', 'A', 'A']","['A', 'A', 'A', 'A', 'A', 'A', 'A', 'A']",A,8,0,2.758013963699341
7728559968,how are the kittens positioned at the start,{},D,E,"['A black and gray kitten is playing with another kitten.', 'a black and gray kitten is playing with another kitten', 'A black kitten and a gray kitten are fighting.', 'A black kitten and a gray kitten are playing together.', 'A black kitten and a gray kitten are fighting.', 'a', 'A black kitten and a gray and white kitten are playing together.', 'A black kitten and a gray and white kitten are on the floor.']","['A', 'A', 'A', 'A', 'A', 'A', 'A', 'A']",A,8,0,5.396473169326782
10030609934,where is this video taken,{},D,E,"['a', 'a', 'a', 'A', 'A', 'a', 'a', 'a']","['A', 'A', 'A', 'A', 'A', 'A', 'A', 'A']",A,8,0,2.690582752227783
2454242177,where is the baby is playing,{},C,B,"['A baby is playing with a green ball.', 'A baby is playing with a dog.', 'A', 'A', 'A', 'A', 'a', 'a']","['A', 'A', 'A', 'A', 'A', 'A', 'A', 'A']",A,8,0,3.186957836151123
10109097475,how many planes are involved in the video,{},C,D,"['3', '3', '2', '2', '1', '1', '1', '1']","[None, None, None, None, None, None, None, None]",A,8,0,2.9690709114074707
4465235803,how many people are involved in the video,{},D,C,"['a', '2', '2', '2', '2', 'answering does not require reading text in the image', '2', '2']","['A', None, None, None, None, None, None, None]",A,8,0,3.367853879928589
5429688959,how many people are playing instruments,{},E,C,"['2', '1', '1', '2', '1', '1', '1', '2']","[None, None, None, None, None, None, None, None]",A,8,0,2.9620800018310547
2809330695,how many times does the baby attempt to flip over,{},B,E,"['1', '1', '1', '1', '1', '1', '0', '1']","[None, None, None, None, None, None, None, None]",A,8,0,3.0967049598693848
3814690167,who did the baby approach at the start,{},B,A,"['a', 'a', 'a', 'a', 'a', 'a', 'a', 'a']","['A', 'A', 'A', 'A', 'A', 'A', 'A', 'A']",A,8,1,2.692335844039917
3524939594,what is the relationship between the men,{},E,B,"['A man is helping another man sit on a skateboard.', 'A man is holding a woman on a bench.', 'A', 'A man is helping another man sit in a chair.', 'A', 'A man helping another man on a treadmill.', 'A man is helping another man tie his tie.', 'A']","['A', 'A', 'A', 'A', 'A', 'A', 'A', 'A']",A,8,0,4.326041221618652
3455926688,what happened to the kite at the end of the video,{},D,A,"['A kite is flying in the sky.', 'A', 'A kite that was flying in the sky.', 'A kite is flying in the sky.', 'A kite is flying in the sky.', 'A kite that was flying in the sky.', 'A kite that was flying in the sky and then crashed to the ground.', 'A blue kite is flying in the sky.']","['A', 'A', 'A', 'A', 'A', 'A', 'A', 'A']",A,8,1,4.864433526992798
5521781780,how many people were under the umbrella,{},D,E,"['0', '0', '1', '0', '1', '1', '0', '1']","[None, None, None, None, None, None, None, None]",A,8,0,2.9789273738861084
5070310138,what is the baby sitting in,{},A,B,"['a yellow duck', 'a yellow duck', 'a yellow and blue bathtub', 'b', 'b', 'b', 'b', 'b']","['A', 'A', 'A', 'B', 'B', 'B', 'B', 'B']",B,8,1,3.2791404724121094
6300775954,what does the lady do with the barbell at the end,{},D,A,"['A', 'A', 'A', 'A', 'A', 'A', 'A', 'A']","['A', 'A', 'A', 'A', 'A', 'A', 'A', 'A']",A,8,1,2.7956552505493164
2809330695,what is the baby holding tight for a few times,{},D,A,"['A', 'tiger', 'A', 'A', 'A', 'a', 'a', 'a']","['A', None, 'A', 'A', 'A', 'A', 'A', 'A']",A,8,1,2.768805980682373
