videoID,question,options,baseline_prediction,answer,reasoning_output,frame_reasoning_predictions,reasoning_prediction,correct,num_frames,inference_time_sec
2495861393,what is the relationship between the lady and the children,"{'A': 'caregiver', 'B': 'teacher student', 'C': 'friends', 'D': 'trainer and trainee', 'E': 'mother and children'}",A,B,"['A. caregiver', 'A. caregiver', 'A. caregiver', 'A. caregiver', 'A. caregiver', 'A. caregiver', 'A. caregiver', 'A. caregiver']","['A', 'A', 'A', 'A', 'A', 'A', 'A', 'A']",A,0,8,9.193737030029297
2573424030,how many people in total are there in the video,"{'A': 'six', 'B': 'one', 'C': 'two', 'D': 'five', 'E': 'seven'}",C,E,"['A. six', 'E', 'C', 'A. six', 'C', 'C', 'C', 'C']","['A', 'E', 'C', 'A', 'C', 'C', 'C', 'C']",C,0,8,8.548990249633789
11244289523,what is the relationship between the lady in black and the baby,"{'A': 'mother and child', 'B': 'parent offspring', 'C': 'colleagues', 'D': 'teacher', 'E': 'supervisor'}",A,B,"['A', 'A. mother and child', 'A. mother and child', 'A', 'A. mother and child', 'A. mother and child', 'A', 'A. mother and child']","['A', 'A', 'A', 'A', 'A', 'A', 'A', 'A']",A,0,8,9.089872598648071
6806999702,where is this video taken,"{'A': 'field', 'B': 'park', 'C': 'room', 'D': 'by a lake', 'E': 'speech event'}",B,A,"['B', 'B', 'A', 'A. field', 'A', 'A', 'B', 'A']","['B', 'B', 'A', 'A', 'A', 'A', 'B', 'A']",A,1,8,9.418896436691284
5017166671,how many pople are on stage,"{'A': 'nine', 'B': 'six', 'C': 'three', 'D': 'two', 'E': 'four'}",C,E,"['C', 'C', 'C', 'C', 'C', 'C', 'C', 'C']","['C', 'C', 'C', 'C', 'C', 'C', 'C', 'C']",C,0,8,9.209888935089111
8225502382,how many times does the man in dark green attempt to go up the slope,"{'A': 'one', 'B': 'eight', 'C': 'five', 'D': 'three', 'E': 'twelve'}",A,C,"['A. one', 'A. one', 'A. one', 'A. one', 'A. one', 'A. one', 'A. one', 'A. one']","['A', 'A', 'A', 'A', 'A', 'A', 'A', 'A']",A,0,8,8.985580682754517
5658916668,how many people were filmed sliding down,"{'A': 'four', 'B': 'one', 'C': 'seven', 'D': 'two', 'E': 'six'}",A,B,"['A. four', 'A. four', 'A', 'A. four', 'B', 'B', 'B', 'B']","['A', 'A', 'A', 'A', 'B', 'B', 'B', 'B']",A,0,8,9.469625234603882
4444192938,how many kids are there at the area,"{'A': 'one', 'B': 'four', 'C': 'nine', 'D': 'two', 'E': 'three'}",A,E,"['B', 'A. one', 'E', 'A', 'A', 'A', 'A', 'A. one']","['B', 'A', 'E', 'A', 'A', 'A', 'A', 'A']",A,0,8,9.4655122756958
8552680285,how does the person sitting down position higher hands,"{'A': 'move wrists', 'B': 'right angle to his body', 'C': 'push chair behind', 'D': 'light on the speaker', 'E': 'on the handle'}",B,E,"['B', 'A. move wrists', 'B', 'B', 'B', 'B', 'B', 'B']","['B', 'A', 'B', 'B', 'B', 'B', 'B', 'B']",B,0,8,8.665534973144531
7492398760,where is this happening,"{'A': 'garden', 'B': 'bedroom', 'C': 'outdoors', 'D': 'room', 'E': 'car'}",C,A,"['A', 'A. garden', 'C', 'A. garden', 'C', 'C', 'C', 'C']","['A', 'A', 'C', 'A', 'C', 'C', 'C', 'C']",C,0,8,9.402057886123657
5235909148,how many people are in the video,"{'A': 'three', 'B': 'six', 'C': 'one', 'D': 'four', 'E': 'eight'}",C,D,"['C', 'C', 'C', 'C', 'C', 'C', 'C', 'A. three']","['C', 'C', 'C', 'C', 'C', 'C', 'C', 'A']",C,0,8,9.272843599319458
6754608321,what color is the baby s clothes,"{'A': 'black and red', 'B': 'yellow and red', 'C': 'yellow', 'D': 'white', 'E': 'green'}",C,E,"['C', 'E', 'C', 'C', 'C', 'E', 'C', 'E']","['C', 'E', 'C', 'C', 'C', 'E', 'C', 'E']",C,0,8,8.495814561843872
8132842161,where is this video taken,"{'A': 'classroom', 'B': 'living room', 'C': 'in house', 'D': 'outdoors', 'E': 'park'}",D,E,"['D', 'D', 'E', 'D', 'D', 'E', 'E', 'D']","['D', 'D', 'E', 'D', 'D', 'E', 'E', 'D']",D,0,8,9.20735502243042
4636208292,how many people are cheering their glasses at the end,"{'A': 'five', 'B': 'three', 'C': 'four', 'D': 'seven', 'E': 'one'}",E,C,"['E', 'A', 'E', 'A', 'E', 'A', 'E', 'A man with a beard and long hair is making a face.']","['E', 'A', 'E', 'A', 'E', 'A', 'E', 'A']",E,0,8,8.922734260559082
2589540862,how many children are there,"{'A': 'nine', 'B': 'two', 'C': 'six', 'D': 'one', 'E': 'four'}",B,D,"['B', 'D', 'D', 'D', 'B', 'B', 'D', 'B']","['B', 'D', 'D', 'D', 'B', 'B', 'D', 'B']",B,0,8,9.262864828109741
7531285946,where is this video taken,"{'A': 'backyard', 'B': 'deserted area', 'C': 'front porch', 'D': 'outdoors', 'E': 'ball room'}",D,B,"['D', 'D', 'D', 'B', 'D', 'D', 'D', 'B']","['D', 'D', 'D', 'B', 'D', 'D', 'D', 'B']",D,0,8,9.310015678405762
11966080214,where is this place,"{'A': 'living room', 'B': 'corridor', 'C': 'classroom', 'D': 'farm', 'E': 'golf course'}",A,B,"['A', 'A', 'A', 'A', 'A', 'A', 'A', 'A']","['A', 'A', 'A', 'A', 'A', 'A', 'A', 'A']",A,0,8,9.263708591461182
8531675050,what is the possible relation between lady in black and white and the man in white,"{'A': 'baby', 'B': 'siblings', 'C': 'fatherdaughter', 'D': 'husband wife', 'E': 'colleagues'}",C,E,"['The man in white is holding a banana.', 'The man is holding a microphone.', 'The man is holding a microphone and the woman is holding a camera. Answer: D', 'The man is holding a banana.', 'The man is holding a banana.', 'The man in white is holding a microphone.', 'A man in a white shirt holding a banana and a woman in a black shirt and white shirt.', 'The man in white is holding a microphone and the lady in black is sitting in a tent. Answer: D']","['A', 'A', 'D', 'A', 'A', 'A', 'A', 'D']",A,0,8,11.422550678253174
10597533885,where is this happening,"{'A': 'playground', 'B': 'in the day', 'C': 'beach', 'D': 'room', 'E': 'home'}",D,A,"['D', 'D', 'D', 'D', 'D', 'D', 'D', 'D']","['D', 'D', 'D', 'D', 'D', 'D', 'D', 'D']",D,0,8,9.21358847618103
3469864014,how many cats were there,"{'A': 'three', 'B': 'two', 'C': 'four', 'D': 'one', 'E': 'five'}",D,B,"['D', 'B', 'D', 'D', 'D', 'D', 'There is only one cat in the image.', 'There is no cat in the image.']","['D', 'B', 'D', 'D', 'D', 'D', None, None]",D,0,8,9.672469139099121
6772999108,what did the girl do in the middle of the video,"{'A': 'fall down', 'B': 'show her toy', 'C': 'start dancing', 'D': 'clap', 'E': 'hit the drum'}",B,D,"['B', 'B', 'B', 'C', 'C', 'D', 'D', 'D']","['B', 'B', 'B', 'C', 'C', 'D', 'D', 'D']",B,0,8,8.53608751296997
4264435046,how many dogs are there,"{'A': 'one', 'B': 'two', 'C': 'four', 'D': 'six', 'E': 'nine'}",A,B,"['A', 'A', 'A', 'A', 'B', 'B', 'B', 'B']","['A', 'A', 'A', 'A', 'B', 'B', 'B', 'B']",A,0,8,9.361921072006226
6329954198,how did the man in black adjust his position,"{'A': 'using the mouse', 'B': 'keep getting up', 'C': 'hit the drum', 'D': 'running', 'E': 'jacket'}",E,B,"['B', 'E', 'E', 'E', 'E', 'E', 'E', 'E']","['B', 'E', 'E', 'E', 'E', 'E', 'E', 'E']",E,0,8,8.520068168640137
8505893258,how many people were in the video,"{'A': 'seven', 'B': 'twelve', 'C': 'six', 'D': 'five', 'E': 'two'}",A,C,"['A. seven', 'A. seven', 'A. seven', 'A. seven', 'A. seven', 'A. seven', 'A. seven', 'A. seven']","['A', 'A', 'A', 'A', 'A', 'A', 'A', 'A']",A,0,8,9.806958675384521
2809330695,how many times does the baby attempt to flip over,"{'A': 'five', 'B': 'one', 'C': 'four', 'D': 'two', 'E': 'three'}",B,E,"['B', 'B', 'B', 'B', 'B', 'B', 'B', 'B']","['B', 'B', 'B', 'B', 'B', 'B', 'B', 'B']",B,0,8,8.44267463684082
3524939594,what is the relationship between the men,"{'A': 'cowboy', 'B': 'friends', 'C': 'parent offspring', 'D': 'team member opponent', 'E': 'trainer trainee'}",E,B,"['The man in the white shirt is a trainer.', 'E', 'The men are friends.', 'The man in the white shirt is helping the man in the black shirt.', 'The men are friends.', 'E', 'E', 'The men are friends.']","['A', 'E', None, None, None, 'E', 'E', None]",E,0,8,9.559417009353638
4276006683,how many people are involved in the video,"{'A': 'two', 'B': 'six', 'C': 'five', 'D': 'one', 'E': 'four'}",A,D,"['A. two', 'A. two', 'A. two', 'A. two', 'A. two', 'A. two', 'A. two', 'A person is petting a cat.']","['A', 'A', 'A', 'A', 'A', 'A', 'A', 'A']",A,0,8,9.902953624725342
5521781780,how many people were under the umbrella,"{'A': 'six', 'B': 'eleven', 'C': 'five', 'D': 'one', 'E': 'two'}",D,E,"['The image shows a stone wall with a mountain in the background.', 'The image shows two people under an umbrella.', 'The man is standing in front of a stone wall.', 'The image is blurry.', 'The image shows a stone wall with a tree in the background.', 'D', 'A man is standing on a stone wall in front of a large stone structure.', 'The image shows a group of people standing under an umbrella.']","['A', None, 'A', None, 'A', 'D', 'A', 'A']",A,0,8,11.553688764572144
2809330695,what is the baby holding tight for a few times,"{'A': 'towel', 'B': 'baby food', 'C': 'eggs', 'D': 'dinosaur toy', 'E': 'watermelon toy'}",D,A,"['D', 'D', 'D', 'D', 'D', 'D', 'D', 'D']","['D', 'D', 'D', 'D', 'D', 'D', 'D', 'D']",D,0,8,8.476781129837036
3105728894,what is the relationship between the people in the video,"{'A': 'book launch', 'B': 'familyfriends', 'C': 'training team', 'D': 'colleagues', 'E': 'friendsteam member'}",C,D,"['C', 'The man in the green shirt is standing on a stage.', 'The man is holding a sword.', 'A clown is holding a pink ring.', 'A man in a red hat is standing on a stage.', 'A group of people are standing on a stage.', 'The people in the video are friends.', 'The people in the video are friends.']","['C', 'A', 'A', 'A', 'A', 'A', None, None]",A,0,8,10.376723527908325
2596300565,how does the baby push the pram differently in the start versus the end of the video,"{'A': 'different direction', 'B': 'smiling', 'C': 'waving', 'D': 'move body', 'E': 'right'}",D,A,"['A. different direction', 'A. different direction', 'A. different direction', 'A. different direction', 'A. different direction', 'A. different direction', 'A. different direction', 'A. different direction']","['A', 'A', 'A', 'A', 'A', 'A', 'A', 'A']",A,1,8,9.112391471862793
3164519967,where is this video taken,"{'A': 'playground', 'B': 'sofa', 'C': 'house', 'D': 'ball room', 'E': 'computer table'}",C,B,"['B', 'B', 'B', 'B', 'B', 'B', 'B', 'B']","['B', 'B', 'B', 'B', 'B', 'B', 'B', 'B']",B,1,8,9.275136232376099
2435633172,how many people are there,"{'A': 'one', 'B': 'seven', 'C': 'four', 'D': 'eleven', 'E': 'three'}",A,E,"['A. one', 'A. one', 'A. one', 'A. one', 'A. one', 'A. one', 'B', 'A. one']","['A', 'A', 'A', 'A', 'A', 'A', 'B', 'A']",A,0,8,9.703444480895996
6018490041,what event could this be,"{'A': 'a funeral', 'B': 'dance competition', 'C': 'game celebration', 'D': 'a wedding', 'E': 'music performance'}",A,C,"['A group of people are standing in a room and one of them is holding a beer. Answer: C', 'A group of men in green shirts standing in a room.', 'C', 'A group of people are playing a game with a baseball bat.', 'The man is taking a picture of the other man. Answer: C', 'A man is standing in a room with a table and a chair.', 'The men are standing in a room with a table and chairs.', 'The people are standing around a table. Answer: C']","['C', 'A', 'C', 'A', 'C', 'A', 'A', 'C']",C,1,8,11.455940008163452
3846475848,how many people are involved in the video,"{'A': 'five', 'B': 'six', 'C': 'four', 'D': 'two', 'E': 'one'}",D,E,"['D', 'D', 'D', 'D', 'D', 'D', 'D', 'D']","['D', 'D', 'D', 'D', 'D', 'D', 'D', 'D']",D,0,8,9.209320545196533
3851913128,how many people are involved in the video,"{'A': 'two', 'B': 'five', 'C': 'four', 'D': 'three', 'E': 'one'}",D,B,"['D', 'D', 'B', 'D', 'D', 'D', 'D', 'D']","['D', 'D', 'B', 'D', 'D', 'D', 'D', 'D']",D,0,8,9.245477199554443
5333075105,how did the man kept himself warm,"{'A': 'thick jacket', 'B': 'wearing a jacket', 'C': 'winter clothes', 'D': 'wear thick clothings', 'E': 'wear long sleeves'}",A,C,"['A. thick jacket', 'A. thick jacket', 'A. thick jacket', 'A. thick jacket', 'A. thick jacket', 'A. thick jacket', 'A. thick jacket', 'A. thick jacket']","['A', 'A', 'A', 'A', 'A', 'A', 'A', 'A']",A,0,8,9.264130353927612
